Year,Month,dibs_U_id,status,id
2023,04,29522182,Approved,75483062
2023,04,29522182,Approved,75481262
2023,04,29522182,Approved,75477542
2023,04,29522182,Approved,75472262
2023,04,29522182,Approved,75472212
2023,04,29522182,Approved,75472172
2023,04,29522182,Approved,75472142
2023,04,29522182,Approved,75472092
2023,04,29522182,Approved,75472082
2023,04,29522182,Approved,75472042
2023,04,29522182,Approved,75472012
2023,04,29522182,Approved,75466882
2023,04,29522182,Approved,75466532
2023,04,29522182,Approved,75461152
2023,04,29522182,Approved,75455902
2023,04,29522182,Approved,75455832
2023,04,29522182,Approved,75455352
2023,04,29522182,Approved,75455182
2023,04,29522182,Approved,75455092
2023,04,29522182,Approved,75450322
2023,04,29522182,Approved,75450282
2023,04,29522182,Approved,75450142
2023,04,29522182,Approved,75450082
2023,04,29522182,Approved,75449832
2023,04,29522182,Approved,75449812
2023,04,29522182,Approved,75444142
2023,04,29522182,Approved,75444012
2023,04,29522182,Approved,75443752
2023,04,29522182,Approved,75443452
2023,04,29522182,Approved,75439022
2023,04,29522182,Approved,75434592
2023,04,29522182,Approved,75434402
2023,04,29522182,Approved,75434052
2023,04,29522182,Approved,75430362
2023,04,29522182,Approved,75430252
2023,04,29522182,Approved,75430082
2023,04,29522182,Approved,75430002
2023,04,29522182,Approved,75429952
2023,04,29522182,Approved,75429812
2023,04,29522182,Approved,75427672
2023,04,29522182,Approved,75423842
2023,04,29522182,Approved,75423832
2023,04,29522182,Approved,75423802
2023,04,30093782,Approved,75423752
2023,04,29522182,Approved,75421022
2023,04,29522182,Approved,75420952
2023,04,30093782,Approved,75420902
2023,04,30093782,Approved,75420872
2023,04,29522182,Approved,75417242
2023,04,30093782,Approved,75416072
2023,04,30093782,Approved,75414752
2023,04,30093782,Approved,75410272
2023,04,30093782,Approved,75402162
2023,04,36295642,Approved,75401732
2023,04,36295642,Approved,75401702
2023,04,30093782,Approved,75401422
2023,04,36295642,Approved,75397612
2023,04,36295642,Approved,75392082
2023,04,36295642,Approved,75386432
2023,04,36295642,Approved,75386382
2023,04,36295642,Approved,75381002
2023,04,29522182,Approved,75380682
2023,04,29522182,Rejected,75375932
2023,04,29522182,Approved,75375872
2023,04,29522182,Approved,75375722
2023,04,29522182,Approved,75375602
2023,04,29522182,Approved,75375412
2023,04,29522182,Approved,75371372
2023,04,29522182,Approved,75367022
2023,04,29522182,Approved,75366832
2023,04,29522182,Approved,75366672
2023,04,29522182,Approved,75366552
2023,04,29522182,Approved,75363912
2023,04,29522182,Approved,75361322
2023,04,29522182,Approved,75361102
2023,04,29522182,Approved,75356252
2023,04,29522182,Approved,75351742
2023,04,30093782,Approved,75351402
2023,04,29522182,Approved,75351392
2023,04,29522182,Approved,75351262
2023,04,29522182,Approved,75347302
2023,04,29522182,Approved,75347112
2023,04,29522182,Approved,75347082
2023,04,36295642,Approved,75347082
2023,04,29522182,Approved,75347022
2023,04,36295642,Approved,75347022
2023,04,29522182,Approved,75346972
2023,04,29522182,Approved,75346912
2023,04,29522182,Approved,75346852
2023,04,29522182,Approved,75341842
2023,04,29522182,Approved,75336812
2023,04,29522182,Approved,75332392
2023,04,29522182,Approved,75332372
2023,04,29522182,Approved,75332292
2023,04,29522182,Approved,75332172
2023,04,29522182,Approved,75332122
2023,04,29522182,Approved,75332092
2023,04,29522182,Approved,75327732
2023,04,29522182,Approved,75327652
2023,04,30093782,Approved,75327302
2023,04,30093782,Approved,75323082
2023,04,30093782,Approved,75323002
2023,04,30093782,Approved,75322952
2023,04,30093782,Approved,75322862
2023,04,30093782,Approved,75320692
2023,04,29522182,Approved,75320502
2023,04,29522182,Approved,75317862
2023,04,29522182,Approved,75317842
2023,04,29522182,Approved,75317812
2023,04,29522182,Approved,75316162
2023,04,29522182,Rejected,75316122
2023,04,30093782,Approved,75309692
2023,04,29522182,Approved,75309482
2023,04,29522182,Rejected,75305102
2023,04,29522182,Approved,75305092
2023,04,36295642,Approved,75305072
2023,04,36295642,Approved,75304992
2023,04,29522182,Approved,75296452
2023,04,30093782,Approved,75296392
2023,04,36295642,Approved,75291682
2023,04,36295642,Approved,75291672
2023,04,36295642,Approved,75291632
2023,04,29522182,Canceled,75291502
2023,04,30093782,Approved,75286322
2023,04,36295642,Approved,75281412
2023,04,36295642,Approved,75273892
2023,04,36295642,Approved,75270412
2023,04,36295642,Approved,75269662
2023,04,36295642,Approved,75265122
2023,04,36295642,Approved,75259642
2023,04,36295642,Approved,75259582
2023,04,36295642,Approved,75258982
2023,04,36295642,Approved,75258942
2023,04,36295642,Approved,75252682
2023,04,36295642,Rejected,75252532
2023,04,29522182,Approved,75252102
2023,04,29522182,Approved,75248052
