canceled_year,canceled_month,hold_reason,confirmed_fraud,missing_escalation,payment_method,latest_buyer_price
2023,5,Fraud,Y,N,ACH,9248.94
2023,5,Fraud,N,N,Credit Card,311345.0
2023,5,Fraud,Y,N,ACH,9248.94
2023,5,Fraud,N,N,Credit Card,9540.0
2023,5,Fraud,N,N,Credit Card,9540.0
2023,5,Fraud,Y,N,ACH,22837.5
2023,5,Fraud,Y,N,ACH,13375.17
2023,5,Fraud,Y,N,ACH,8585.82
2023,5,Fraud,Y,N,ApplePay,498000.0
2023,5,Fraud,Y,N,ApplePay,155000.01
2023,5,Fraud,N,Y,Credit Card,743.48
2023,5,Fraud,N,N,Credit Card,599.6
2023,5,Fraud,N,Y,Credit Card,836.76
2023,5,Fraud,N,Y,PayPal,775.0
2023,5,Fraud,N,N,Credit Card,1793.5
2023,5,Fraud,N,N,Credit Card,3649.33
2023,5,Fraud,Y,N,Wire Transfer,8875.24
2023,5,AML,N,N,Credit Card,1295.0
2023,5,Fraud,N,Y,Credit Card,5723.0
2023,5,Fraud,N,Y,Credit Card,5325.0
2023,5,Fraud,N,Y,Credit Card,459.9
2023,5,Fraud,N,Y,Credit Card,1233.5
2023,5,Fraud,N,Y,Credit Card,427.06
2023,5,AML,N,N,Credit Card,1295.0
2023,5,Fraud,N,Y,Credit Card,5723.0
2023,5,Fraud,N,Y,Credit Card,5325.0
2023,5,Fraud,N,Y,Credit Card,459.9
2023,5,Fraud,N,Y,Credit Card,1233.5
2023,5,Fraud,N,Y,Credit Card,427.06
2023,5,Fraud,U,N,Credit Card,668.0
2023,5,Fraud,N,Y,Credit Card,629.0
2023,5,Fraud,Y,N,ACH,6199.07
2023,5,Fraud,N,Y,Credit Card,4946.11
2023,5,Fraud,N,Y,Credit Card,750.0
2023,5,Fraud,N,Y,Credit Card,4996.5
2023,5,Fraud,N,Y,Credit Card,5723.0
2023,5,Fraud,N,Y,Credit Card,6051.5
2023,5,Fraud,N,Y,Credit Card,162.33
2023,5,Fraud,Y,N,Credit Card,1874.0
2023,5,Fraud,Y,N,Wire Transfer,116250.0
2023,5,Fraud,N,Y,Credit Card,1400.0
2023,5,Fraud,U,N,ApplePay,249.0
2023,5,Fraud,N,Y,Credit Card,1290.8
2023,5,Fraud,N,Y,Credit Card,589.95
2023,5,Fraud,U,N,Credit Card,4000.36
2023,5,Fraud,Y,N,Wire Transfer,116250.0
2023,5,Fraud,U,Y,Credit Card,4000.36
2023,5,Fraud,N,N,ApplePay,1300.54
2023,5,Fraud,N,Y,Credit Card,2177.5
2023,5,Fraud,N,Y,Credit Card,4026.94
2023,5,Fraud,N,Y,Credit Card,5226.0
2023,5,Fraud,Y,N,,4160.0
2023,5,Fraud,Y,N,ACH,10625.0
2023,5,Fraud,Y,N,ACH,6199.8
2023,5,Fraud,U,Y,ApplePay,58986.96
2023,5,Fraud,Y,N,Credit Card,318.0
2023,5,Fraud,Y,N,ApplePay,24279.0
2023,5,Fraud,N,N,Credit Card,350.0
